id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
1,103,2015,2,8063,386399,11,18715,0,1,517,True,62,3,True,36,1,13,148,0,2,397677,404177.0,2,5202,True,8975,57960,False,False
2,86,2016,2,23104,265499,11,2676,0,1,506,True,150,13,True,227,1,13,11,0,1,272935,354313.0,2,4104,True,6167,39825,False,False
3,48,2017,2,23402,477699,11,609,0,1,615,True,1,13,True,242,1,7,71,0,1,469605,550750.6039160839,2,3815,True,11096,71655,False,False
4,103,2013,0,39124,307999,11,6511,0,1,692,True,62,3,True,31,1,13,148,0,1,294262,374326.0,2,1055,True,7154,46200,False,False
5,48,2015,2,22116,361499,11,3225,0,1,531,False,148,3,True,28,1,7,71,0,1,360716,367216.0,2,5034,True,8397,54225,False,False
6,87,2018,2,23534,335299,11,1055,0,1,725,True,62,3,True,32,1,13,12,0,1,343212,439056.0,2,5838,True,7788,50295,False,False
7,100,2012,0,41213,281999,11,909,0,1,692,True,62,3,True,28,1,13,130,0,1,201200,550750.6039160839,2,869,True,6550,42300,False,False
8,51,2012,2,38328,321499,11,2760,0,1,300,True,150,13,True,227,1,7,78,0,3,319200,410764.0,2,2027,True,7468,48225,False,False
9,45,2014,0,56402,456199,11,2475,0,1,532,True,150,13,True,227,1,7,50,0,1,452023,566123.0,2,3253,True,10596,68430,False,False
10,134,2018,2,32703,281299,11,2497,0,1,559,True,150,13,True,227,1,19,93,1,1,264597,344127.0,2,3826,True,6534,42195,False,False
11,86,2014,2,53180,206899,11,1446,0,1,506,True,62,3,True,39,1,13,11,0,1,200605,207105.0,2,2604,True,4806,31035,False,False
12,50,2008,2,44219,194699,11,1798,0,1,623,True,83,5,True,78,1,7,77,0,1,153600,550750.6039160839,1,2697,True,4522,29205,False,False
13,51,2012,0,55764,287999,11,3115,0,1,631,True,148,3,True,37,1,7,78,0,2,275325,356231.0,2,633,True,6689,43200,False,False
14,34,2012,2,58581,235699,11,1752,0,1,58,True,76,13,True,225,1,6,24,0,1,234607,307559.0,2,1130,True,5475,35355,False,False
15,50,2011,2,49761,207499,11,2226,0,1,530,True,62,3,True,26,1,7,77,0,1,188721,550750.6039160839,1,3201,True,4820,31125,False,False
16,35,2010,2,63808,304199,11,2493,3,1,588,True,150,13,True,227,1,6,31,0,1,281400,364648.0,2,852,True,7066,45630,False,False
17,50,2011,2,70126,217599,11,2450,0,1,627,True,62,3,True,33,1,7,77,0,1,216800,284836.0,2,1635,True,5054,32640,False,False
18,46,2013,2,49817,216899,11,1498,0,1,349,True,156,5,True,66,1,7,52,0,1,201155,550750.6039160839,2,2694,True,5038,32535,False,False
19,103,2015,0,62806,396499,11,2965,0,1,694,True,150,13,True,227,1,13,148,0,1,409866,515526.0,2,1043,True,9210,59475,False,False
20,34,2015,2,58396,347399,11,620,0,1,39,True,62,3,True,29,1,6,24,0,2,327940,405581.0,2,2526,True,8069,52110,False,False
21,46,2014,2,59559,209799,11,2216,0,1,396,True,76,13,True,225,1,7,52,0,1,205754,272348.0,2,2586,True,4873,31470,False,False
22,61,2012,0,68355,398799,11,1960,3,1,414,True,83,5,True,78,1,7,161,0,1,367000,467580.0,2,568,True,9263,59820,False,False
23,100,2010,2,82078,207099,11,881,0,1,737,True,62,3,True,33,1,13,130,0,1,193591,257586.0,2,1018,True,4810,31065,False,False
24,103,2013,0,66350,318399,11,779,0,1,692,True,62,3,True,38,1,13,148,1,1,307404,550750.6039160839,2,2119,True,7396,47760,False,False
25,85,2010,2,56231,180999,11,1161,0,1,506,True,129,13,True,226,1,13,10,0,2,154164,550750.6039160839,1,4046,True,4204,27150,False,False
26,51,2010,2,72985,227699,11,1505,0,1,536,True,83,5,True,78,1,7,78,0,1,212540,550750.6039160839,2,2705,True,5289,34155,False,False
27,57,2009,2,79244,164899,11,2030,0,1,431,True,62,3,True,33,1,7,139,0,1,129230,177150.0,1,5076,True,3830,24735,False,False
28,103,2014,2,71876,389699,11,1151,0,1,723,True,62,3,True,32,1,13,148,0,1,377352,480698.0,2,1517,True,9052,58455,False,False
29,104,2011,2,90479,224299,11,2775,3,1,728,True,73,5,True,88,1,13,149,0,1,214978,282096.0,2,1466,True,5210,33645,False,False
30,23,2013,0,66940,397199,11,3986,4,1,117,True,73,5,True,88,1,5,48,0,1,383822,472084.0,2,797,True,9226,59580,False,False
31,104,2013,0,80394,332499,11,1491,3,1,696,True,150,13,True,227,1,13,149,0,1,317758,408992.0,2,900,True,7723,49875,False,False
32,104,2012,0,77954,306899,11,748,3,1,696,True,148,3,True,33,1,13,149,0,2,297766,369669.0,2,646,True,7128,46035,False,False
33,128,2012,2,82364,287099,11,1537,3,1,789,True,62,3,True,27,1,17,146,0,1,255552,332102.0,2,2209,True,6669,43065,False,False
34,62,2014,0,66743,276299,11,1339,3,1,579,True,62,3,True,26,1,7,171,0,1,252792,550750.6039160839,2,3033,True,6418,41445,False,False
35,100,2012,0,114402,228699,11,491,0,1,692,False,148,3,True,34,1,13,130,0,1,217015,550750.6039160839,2,3292,True,5312,34305,False,False
36,51,2012,0,83767,244399,11,4003,0,1,537,True,150,13,True,227,1,7,78,0,1,253021,330021.0,2,1127,True,5677,36660,False,False
