id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
1,honda civic,2021,petrol,156253,1629175,kolkata,85863,sedan,automatic,top,True,kolkata,Telangana,True,TN04,auction,ford,corolla,sold,3,2410795,1087946.17,average,2020-01-01 00:00:00,False,49339,174294,False,True
2,hyundai elantra,2018,hybrid,53726,1004417,kolkata,52281,hatchback,manual,mid,True,bangalore,Telangana,False,WB05,dealer,honda,focus,available,3,1126988,4345668.5,poor,2020-01-01 01:00:00,True,30202,65578,False,True
3,ford focus,2023,petrol,49506,1870905,delhi,98674,hatchback,manual,mid,False,hyderabad,Karnataka,False,KA03,dealer,toyota,civic,available,2,2407141,2161159.81,good,2020-01-01 02:00:00,False,42461,142885,False,True
4,toyota corolla,2010,diesel,103273,2404382,bangalore,61004,hatchback,automatic,premium,True,hyderabad,Karnataka,False,TS06,auction,honda,corolla,sold,4,869201,641745.99,average,2020-01-01 03:00:00,True,69431,281302,False,True
5,ford focus,2023,diesel,119042,2755860,pune,50549,hatchback,automatic,base,True,chennai,Tamil Nadu,False,DL02,auction,ford,a4,available,4,1996496,590198.0,average,2020-01-01 04:00:00,False,67565,133757,True,False
6,toyota corolla,2018,diesel,83900,1007028,chennai,36627,convertible,manual,top,False,hyderabad,Telangana,True,TN04,owner,nissan,elantra,available,3,246381,4250608.82,excellent,2020-01-01 05:00:00,True,76302,38400,False,True
7,toyota corolla,2019,electric,195549,1717697,delhi,59660,SUV,automatic,premium,False,chennai,Tamil Nadu,True,TS06,owner,ford,3-series,sold,1,1283873,3972615.57,good,2020-01-01 06:00:00,False,78151,217215,True,True
8,nissan sentra,2005,diesel,120279,2620874,kolkata,99792,coupe,manual,base,True,hyderabad,Telangana,False,TN04,auction,toyota,3-series,available,3,1914709,827958.39,good,2020-01-01 07:00:00,False,18801,280296,False,False
9,nissan sentra,2006,electric,175883,1667493,kolkata,64016,sedan,manual,top,False,bangalore,West Bengal,True,MH01,owner,bmw,focus,available,2,1424458,1154663.58,great,2020-01-01 08:00:00,False,75691,173835,False,False
10,toyota corolla,2006,hybrid,79293,1161073,kolkata,52041,convertible,manual,top,True,chennai,Karnataka,True,KA03,owner,honda,a4,available,2,740147,4194810.74,great,2020-01-01 09:00:00,False,19556,101311,False,False
11,honda civic,2015,petrol,190958,248274,delhi,82003,coupe,manual,top,True,pune,Delhi,False,TN04,owner,bmw,civic,available,2,1330267,4393456.51,poor,2020-01-01 10:00:00,True,34909,70118,False,True
